motion_motion_near_sound_increase,motion_motion_near_sound_decrease,motion_motion_near_no,motion_motion_far_sound_increase,motion_motion_far_sound_decrease,motion_motion_far_no,snd_snd_increase_motion_near,snd_snd_increase_motion_far,snd_snd_increase_no,snd_snd_decrease_motion_near,snd_snd_decrease_motion_far,snd_snd_decrease_no
0.964285714285714,0.966666666666667,0.964285714285714,0.9,0.931034482758621,1,0.933333333333333,1,0.966666666666667,0.933333333333333,1,1
0.933333333333333,1,1,0.966666666666667,0.9,1,0.966666666666667,1,0.896551724137931,1,0.933333333333333,0.933333333333333
0.966666666666667,1,1,1,1,0.933333333333333,0.933333333333333,1,1,0.933333333333333,0.966666666666667,1
1,1,1,1,1,1,1,1,1,1,1,1
1,0.933333333333333,1,1,0.966666666666667,1,0.928571428571429,0.933333333333333,0.966666666666667,0.933333333333333,0.966666666666667,0.933333333333333
1,1,1,0.933333333333333,0.933333333333333,0.866666666666667,0.966666666666667,0.966666666666667,1,1,1,1
1,1,1,0.966666666666667,1,1,1,0.966666666666667,0.933333333333333,1,1,1
0.966666666666667,0.966666666666667,1,0.933333333333333,0.966666666666667,0.933333333333333,1,1,1,0.966666666666667,1,0.966666666666667
1,0.933333333333333,1,1,0.966666666666667,0.966666666666667,0.96551724137931,0.964285714285714,0.933333333333333,1,1,1
1,1,1,1,0.966666666666667,1,1,0.966666666666667,0.966666666666667,0.933333333333333,0.966666666666667,1
0.866666666666667,0.8,0.933333333333333,1,0.9,1,0.966666666666667,0.966666666666667,1,0.966666666666667,1,1
0.933333333333333,1,0.933333333333333,0.933333333333333,0.833333333333333,1,0.933333333333333,1,0.933333333333333,0.933333333333333,0.96551724137931,0.966666666666667
1,0.9,1,0.9,0.833333333333333,0.866666666666667,0.866666666666667,0.9,1,0.933333333333333,0.966666666666667,1
1,1,1,1,1,1,1,1,0.933333333333333,0.966666666666667,0.966666666666667,0.933333333333333
1,1,1,0.966666666666667,0.933333333333333,0.966666666666667,1,1,1,1,1,1
0.966666666666667,0.933333333333333,0.866666666666667,0.833333333333333,0.833333333333333,1,0.966666666666667,0.866666666666667,1,0.866666666666667,0.966666666666667,1
0.966666666666667,1,1,1,0.966666666666667,0.966666666666667,1,1,1,1,1,1
1,1,1,1,1,0.966666666666667,1,1,1,1,1,1
1,0.966666666666667,0.966666666666667,0.8,0.724137931034483,1,1,1,1,0.966666666666667,1,1
1,1,1,1,1,0.966666666666667,0.966666666666667,0.933333333333333,0.966666666666667,0.966666666666667,1,0.96551724137931
1,1,1,1,1,1,1,1,1,1,1,0.966666666666667
1,1,1,0.966666666666667,1,1,1,0.896551724137931,0.966666666666667,0.96551724137931,1,1
0.966666666666667,1,0.966666666666667,1,1,1,1,1,0.966666666666667,0.966666666666667,1,1
1,1,0.933333333333333,0.966666666666667,1,1,1,0.966666666666667,0.966666666666667,1,1,1
1,1,1,1,1,1,1,0.966666666666667,1,1,1,1
1,1,0.966666666666667,1,0.833333333333333,0.933333333333333,1,0.96551724137931,1,0.9,0.9,0.966666666666667
1,0.966666666666667,0.966666666666667,1,1,1,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667,0.966666666666667
0.966666666666667,0.966666666666667,0.966666666666667,1,0.966666666666667,1,0.933333333333333,0.866666666666667,0.966666666666667,1,1,1
1,1,0.966666666666667,0.9,0.933333333333333,0.9,1,1,1,0.966666666666667,0.966666666666667,0.9
1,1,0.966666666666667,0.933333333333333,0.966666666666667,1,0.966666666666667,1,1,1,0.966666666666667,1
